database,table,name,type,position,default_kind,default_expression,data_compressed_bytes,data_uncompressed_bytes,marks_bytes,comment,is_in_partition_key,is_in_sorting_key,is_in_primary_key,is_in_sampling_key,compression_codec,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision
opensource,events,release_tag_name,String,113,,,234154874,8490239704,26729064,,0,0,0,0,,,,,,
opensource,events,release_target_commitish,String,114,,,199295607,8454453732,26729064,,0,0,0,0,,,,,,
opensource,events,release_name,String,115,,,302319360,8625297433,26729064,,0,0,0,0,,,,,,
opensource,events,release_draft,UInt8,116,,,35909331,8053553795,26729064,,0,0,0,0,,,8.0,2.0,0.0,
opensource,events,release_author_id,UInt64,117,,,354904128,64428430360,26729064,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,release_author_login,LowCardinality(String),118,,,180924060,8705607228,53458128,,0,0,0,0,,,,,,
opensource,events,release_author_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",119,,,41626232,8053553795,26729064,,0,0,0,0,,,,,,
opensource,events,release_prerelease,UInt8,120,,,42585467,8053553795,26729064,,0,0,0,0,,,8.0,2.0,0.0,
opensource,events,release_created_at,Nullable(DateTime),121,,,306112399,40267768975,53458128,,0,0,0,0,,,,,,0.0
opensource,events,release_published_at,Nullable(DateTime),122,,,335198643,40267768975,53458128,,0,0,0,0,,,,,,0.0
opensource,events,release_body,String,123,,,4108359616,19740783718,26729064,,0,0,0,0,,,,,,
opensource,events,release_assets.name,Array(String),124,,,469766077,65139705350,53458128,,0,0,0,0,,,,,,
opensource,events,release_assets.uploader_login,Array(LowCardinality(String)),125,,,35139791,73837549,53458128,,0,0,0,0,,,,,,
opensource,events,release_assets.uploader_id,Array(UInt64),126,,,21727109,195220960,26729064,,0,0,0,0,,,,,,
opensource,events,release_assets.content_type,Array(LowCardinality(String)),127,,,8541843,30788121,53458128,,0,0,0,0,,,,,,
