src_entity_id,src_entity_type,tar_entity_id,tar_entity_type,relation_label_id,relation_type,relation_label_repr,event_id,event_trigger,event_type,event_time,tar_entity_match_text,tar_entity_match_pattern_type
1089257218,PullRequestReviewComment,4106672,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26705636958,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-27 17:54:07,,
1089257218,PullRequestReviewComment,1273162548,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26705636958,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-27 17:54:07,,
1089257218,PullRequestReviewComment,2344308,Actor,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26705636958,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-27 17:54:07,@ywangd,Actor
1060622378,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26196826948,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 14:11:47,,
1060622378,PullRequestReviewComment,1234607376,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26196826948,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 14:11:47,,
1060624168,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26196870048,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 14:13:46,,
1060624168,PullRequestReviewComment,1234610178,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26196870048,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 14:13:46,,
1060634637,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26197101384,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 14:24:26,,
1060634637,PullRequestReviewComment,1234626294,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26197101384,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 14:24:26,,
1060634637,PullRequestReviewComment,832460,Actor,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26197101384,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 14:24:26,@javanna,Actor
1060744581,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26199715375,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 16:22:14,,
1060744581,PullRequestReviewComment,1234793203,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26199715375,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-03 16:22:14,,
